value,athlete_id,athlete_title,athlete_first,athlete_last,athlete_country_id,athlete_gender,athlete_yob,athlete_noc,athlete_country_name,athlete_country_isoa2,result_id,position,total_time,swim_time,t1_time,bike_time,t2_time,run_time,prog_id,event_id,prog_name,prog_date,prog_time,prog_notes,event_title,event_venue,event_country,event_latitude,event_longitude,event_date,event_country_isoa2,event_country_noc,event_region_id,event_country_id,event_region_name,cat_name,wetsuit,temp_water,temp_air
NA,5526,Emma Moffatt,Emma,Moffatt,111,female,1984,AUS,Australia,AU,202263,1,01:59:14,00:21:47,00:00:28,01:01:55,00:00:19,00:34:46,4818,5105,Elite Women,2009-09-13,14:14:00,,2009 Dextro Energy Triathlon - ITU World Championship Grand Final Gold Coast,Gold Coast,Australia,-28.136289,153.477806,2009-09-09,AU,AUS,14,111,Oceania,Sprint,FALSE,NA,NA
NA,6120,Lisa Norden,Lisa,Norden,275,female,1984,SWE,Sweden,SE,202264,2,01:59:19,00:21:49,00:00:25,01:01:57,00:00:20,00:34:50,4818,5105,Elite Women,2009-09-13,14:14:00,,2009 Dextro Energy Triathlon - ITU World Championship Grand Final Gold Coast,Gold Coast,Australia,-28.136289,153.477806,2009-09-09,AU,AUS,14,111,Oceania,Sprint,FALSE,NA,NA
NA,5573,Helen Jenkins,Helen,Jenkins,292,female,1984,GBR,Great Britain,GB,202265,3,01:59:41,00:21:45,00:00:28,01:02:00,00:00:25,00:35:04,4818,5105,Elite Women,2009-09-13,14:14:00,,2009 Dextro Energy Triathlon - ITU World Championship Grand Final Gold Coast,Gold Coast,Australia,-28.136289,153.477806,2009-09-09,AU,AUS,14,111,Oceania,Sprint,FALSE,NA,NA
NA,6210,Sarah Haskins,Sarah,Haskins,293,female,1981,USA,United States,US,202266,4,01:59:52,00:21:30,00:00:28,01:02:14,00:00:26,00:35:16,4818,5105,Elite Women,2009-09-13,14:14:00,,2009 Dextro Energy Triathlon - ITU World Championship Grand Final Gold Coast,Gold Coast,Australia,-28.136289,153.477806,2009-09-09,AU,AUS,14,111,Oceania,Sprint,FALSE,NA,NA
NA,5517,Annabel Luxford,Annabel,Luxford,111,female,1982,AUS,Australia,AU,202267,5,02:00:07,00:21:48,00:00:27,01:01:55,00:00:21,00:35:36,4818,5105,Elite Women,2009-09-13,14:14:00,,2009 Dextro Energy Triathlon - ITU World Championship Grand Final Gold Coast,Gold Coast,Australia,-28.136289,153.477806,2009-09-09,AU,AUS,14,111,Oceania,Sprint,FALSE,NA,NA
NA,7766,Daniela Ryf,Daniela,Ryf,276,female,1987,SUI,Switzerland,CH,202268,6,02:00:21,00:22:05,00:00:26,01:02:27,00:00:19,00:35:05,4818,5105,Elite Women,2009-09-13,14:14:00,,2009 Dextro Energy Triathlon - ITU World Championship Grand Final Gold Coast,Gold Coast,Australia,-28.136289,153.477806,2009-09-09,AU,AUS,14,111,Oceania,Sprint,FALSE,NA,NA
NA,5523,Magali Di Marco,Magali,Di Marco Messmer,276,female,1971,SUI,Switzerland,CH,202269,7,02:00:25,00:22:05,00:00:28,01:02:28,00:00:19,00:35:07,4818,5105,Elite Women,2009-09-13,14:14:00,,2009 Dextro Energy Triathlon - ITU World Championship Grand Final Gold Coast,Gold Coast,Australia,-28.136289,153.477806,2009-09-09,AU,AUS,14,111,Oceania,Sprint,FALSE,NA,NA
NA,6783,Andrea Hewitt,Andrea,Hewitt,232,female,1982,NZL,New Zealand,NZ,202270,8,02:00:26,00:22:04,00:00:28,01:02:28,00:00:20,00:35:07,4818,5105,Elite Women,2009-09-13,14:14:00,,2009 Dextro Energy Triathlon - ITU World Championship Grand Final Gold Coast,Gold Coast,Australia,-28.136289,153.477806,2009-09-09,AU,AUS,14,111,Oceania,Sprint,FALSE,NA,NA
NA,5410,Jessica Harrison,Jessica,Harrison,166,female,1977,FRA,France,FR,202271,9,02:00:26,00:21:48,00:00:27,01:01:58,00:00:23,00:35:53,4818,5105,Elite Women,2009-09-13,14:14:00,,2009 Dextro Energy Triathlon - ITU World Championship Grand Final Gold Coast,Gold Coast,Australia,-28.136289,153.477806,2009-09-09,AU,AUS,14,111,Oceania,Sprint,FALSE,NA,NA
NA,5842,Liz Blatchford,Liz,Blatchford,292,female,1980,GBR,Great Britain,GB,202272,10,02:00:29,00:21:47,00:00:28,01:02:45,00:00:24,00:35:07,4818,5105,Elite Women,2009-09-13,14:14:00,,2009 Dextro Energy Triathlon - ITU World Championship Grand Final Gold Coast,Gold Coast,Australia,-28.136289,153.477806,2009-09-09,AU,AUS,14,111,Oceania,Sprint,FALSE,NA,NA
